Nom_UTF Nom_ASCII Noms_Alternatius Latitud Longitud CodiToponim Poblacio
Costa_de_Xurius Costa_de_Xurius NULL 42.5 1.48333 SLP 0
Font_de_la_Xona Font_de_la_Xona NULL 42.55003 1.44986 SPNG 0
Xixerella Xixerella NULL 42.55327 1.48736 PPL 0
Xixerella Xixerella Xixerella 42.55 1.48333 ADMD 0
Riu_Xic Riu_Xic NULL 42.56667 1.68333 STM 0
Pas_del_Xic Pas_del_Xic NULL 42.5 1.58333 TRL 0
Roc_del_Xeig Roc_del_Xeig NULL 42.56667 1.48333 RK 0
Collada_del_Xeig Collada_del_Xeig NULL 42.56667 1.48333 PK 0
Fonts_Vives Fonts_Vives NULL 42.5 1.56667 SPNG 0
Roc_de_Vista Roc_de_Vista NULL 42.5 1.48333 RK 0
Obaga_de_Vista Obaga_de_Vista NULL 42.48333 1.45 SLP 0
Coll_de_Vista Coll_de_Vista NULL 42.46667 1.58333 SPUR 0
Coll_de_Vista Coll_de_Vista Coll_de_Vista 42.48333 1.43333 PASS 0
Visanseny Visanseny Visanceny,Visanseny 42.56667 1.61667 LCTY 0
Roc_de_la_Vinya Roc_de_la_Vinya NULL 42.53333 1.56667 RK 0
Canal_de_la_Vinya Canal_de_la_Vinya NULL 42.51667 1.51667 STM 0
Bosc_de_Villar Bosc_de_Villar NULL 42.6 1.55 FRST 0
Torrent_de_Vila Torrent_de_Vila NULL 42.53333 1.56667 STM 0
Vila Vila Casas_Vila,Vila 42.53222 1.57392 PPL 0
Basers_de_Vicenç Basers_de_Vicenc NULL 42.48333 1.48333 CLF 0
Pla_de_Viàs Pla_de_Vias NULL 42.58333 1.66667 UPLD 0
Vial_del_Cardaire Vial_del_Cardaire NULL 42.56667 1.5 LCTY 0
Font_del_Vi Font_del_Vi NULL 42.51667 1.48333 SPNG 0
Font_Verda Font_Verda NULL 42.55 1.56667 SPNG 0
Costa_Verda Costa_Verda NULL 42.48333 1.66667 SLP 0
Costa_Verda Costa_Verda NULL 42.48333 1.56667 SLP 0
Serrat_de_Ventader Serrat_de_Ventader NULL 42.48333 1.43333 MT 0
Bony_de_Vellatocina Bony_de_Vellatocina NULL 42.61667 1.5 PK 0
Pleta_Vella Pleta_Vella NULL 42.51667 1.61667 GRAZ 0
Solà_Vell Sola_Vell NULL 42.46667 1.48333 SLP 0
Port_Vell Port_Vell NULL 42.65 1.55 PASS 0
Port_Negre_del_Pallars Port_Negre_del_Pallars Port_Negre_del_Pallars,Port_Vell 42.56667 1.45 PASS 0
Bancal_Vedeller Bancal_Vedeller NULL 42.6 1.46667 TRL 0
Vedat_del_Xeig Vedat_del_Xeig NULL 42.56667 1.48333 LCTY 0
Vedat_dels_Plans Vedat_dels_Plans NULL 42.53333 1.5 ADMD 0
Vedat_de_Coll_de_les_Cases Vedat_de_Coll_de_les_Cases NULL 42.56667 1.5 LCTY 0
Serra_del_Vedat Serra_del_Vedat NULL 42.46667 1.48333 RDGE 0
Planades_del_Vedat Planades_del_Vedat NULL 42.53333 1.5 UPLD 0
Veda_de_Sorteny Veda_de_Sorteny NULL 42.61667 1.55 LCTY 0
Veda_del_Castellar Veda_del_Castellar NULL 42.63333 1.51667 ADMD 0
Canal_de_les_Veces Canal_de_les_Veces NULL 42.51667 1.51667 STM 0
Coma_de_Varilles Coma_de_Varilles NULL 42.63333 1.53333 VAL 0
Portella_de_les_Vaques Portella_de_les_Vaques NULL 42.56667 1.45 PASS 0
Pas_de_les_Vaques Pas_de_les_Vaques NULL 42.58333 1.7 PASS 0
Collada_de_les_Vaques Collada_de_les_Vaques NULL 42.56667 1.56667 PASS 0
Roc_del_Vaquer Roc_del_Vaquer NULL 42.63333 1.48333 CLF 0
Valls_de_la_Coma Valls_de_la_Coma NULL 42.6 1.63333 LCTY 0
Vall_d'Incles Vall_d'Incles NULL 42.58386 1.66331 LCTY 0
Vall_de_Soldeu Vall_de_Soldeu NULL 42.55 1.68333 LCTY 0
